from,to,gender,age,rate,ratemavg
AK,AR,m,75-79,0,3.83E-05
AK,AR,m,80-84,0,0
AK,AR,m,85-89,0,0
AK,AR,m,90-94,0,0
AK,AR,m,95-99,0,0
AK,AR,f,00-04,0.000451201,0.000451201
AK,AR,f,05-09,0,0.0002256
AK,AR,f,10-14,0,0.0001504
AK,AR,f,15-19,0,0
AK,AR,f,20-24,0.00038098,0.000126993
AK,AR,f,25-29,0.000895968,0.000425649
AK,AR,f,30-34,0,0.000425649
AK,AR,f,35-39,0,0.000298656
AK,AR,f,40-44,0.000223852,7.46174E-05
AK,AR,f,45-49,7.98123E-05,0.000101221
AK,AR,f,50-54,0.000736867,0.000346844
AK,AR,f,55-59,7.21323E-05,0.000296271
AK,AR,f,60-64,0.000117149,0.000308716
AK,AR,f,65-69,0,6.31E-05
AK,AR,f,70-74,0,3.90E-05
AK,AR,f,75-79,0,0
AK,AR,f,80-84,0,0
AK,AR,f,85-89,0,0
AK,AR,f,90-94,0,0
AK,AR,f,95-99,0,0
AK,AZ,m,00-04,0.002190053,0.002190053
AK,AZ,m,05-09,0.001363632,0.001776842
AK,AZ,m,10-14,0.00204321,0.001865631
AK,AZ,m,15-19,0.002931536,0.002112793
AK,AZ,m,20-24,0.004774397,0.003249715
AK,AZ,m,25-29,0.007157912,0.004954615
AK,AZ,m,30-34,0.004707763,0.005546691
AK,AZ,m,35-39,0.001706523,0.004524066
AK,AZ,m,40-44,0.00219827,0.002870852
AK,AZ,m,45-49,0.001746445,0.001883746
AK,AZ,m,50-54,0.001170719,0.001705145
AK,AZ,m,55-59,0.003446128,0.002121097
AK,AZ,m,60-64,0.003635964,0.002750937
AK,AZ,m,65-69,0.004450289,0.003844127
AK,AZ,m,70-74,0.00104389,0.003043381
AK,AZ,m,75-79,0.002741461,0.002745213
AK,AZ,m,80-84,0.007173515,0.003652955
AK,AZ,m,85-89,0.00684368,0.004240798
AK,AZ,m,90-94,0,0.003326978
AK,AZ,m,95-99,0,0.000935806
AK,AZ,f,00-04,0.001008566,0.001008566
AK,AZ,f,05-09,0.004893997,0.002951282
AK,AZ,f,10-14,0.001633516,0.002512027
AK,AZ,f,15-19,0.005778246,0.00410192
AK,AZ,f,20-24,0.004098821,0.003836861
AK,AZ,f,25-29,0.002843725,0.004240264
AK,AZ,f,30-34,0.002273116,0.003071887
AK,AZ,f,35-39,0.003045834,0.002720892
AK,AZ,f,40-44,0.001608937,0.002309296
AK,AZ,f,45-49,0.001077467,0.001910746
AK,AZ,f,50-54,0.00072394,0.001136781
AK,AZ,f,55-59,0.003159394,0.0016536
AK,AZ,f,60-64,0.00595507,0.003279468
AK,AZ,f,65-69,0.002560624,0.003891696
AK,AZ,f,70-74,0.001236035,0.003250576
AK,AZ,f,75-79,0.007951511,0.003916057
AK,AZ,f,80-84,0.001451982,0.00354651
AK,AZ,f,85-89,0.001694656,0.003492624
AK,AZ,f,90-94,0,0.00084212
AK,AZ,f,95-99,0,0.000358126
AK,CA,m,00-04,0.005256127,0.005256127
AK,CA,m,05-09,0.005252507,0.005254317
AK,CA,m,10-14,0.004974771,0.005161135
AK,CA,m,15-19,0.006723152,0.005650143
AK,CA,m,20-24,0.009458142,0.007052022
AK,CA,m,25-29,0.012437017,0.009539437
AK,CA,m,30-34,0.00969168,0.010528946
AK,CA,m,35-39,0.010080058,0.010736252
AK,CA,m,40-44,0.007021535,0.008931091
AK,CA,m,45-49,0.002075486,0.006392359
AK,CA,m,50-54,0.00510099,0.00473267
AK,CA,m,55-59,0.003732222,0.003636232
AK,CA,m,60-64,0.002790391,0.003874534
AK,CA,m,65-69,0.002986,0.003169538
AK,CA,m,70-74,0.004306047,0.003360813
AK,CA,m,75-79,0,0.002430682
AK,CA,m,80-84,0,0.001435349
AK,CA,m,85-89,0.042847387,0.005858959
AK,CA,m,90-94,0,0.005858959
AK,CA,m,95-99,0,0.005858959
AK,CA,f,00-04,0.006343351,0.006343351
AK,CA,f,05-09,0.006418128,0.00638074
AK,CA,f,10-14,0.003095776,0.005285752
AK,CA,f,15-19,0.005417105,0.004977003
AK,CA,f,20-24,0.012585481,0.007032788
AK,CA,f,25-29,0.009881619,0.009294735
AK,CA,f,30-34,0.009283111,0.010583404
AK,CA,f,35-39,0.006498785,0.008554505
AK,CA,f,40-44,0.006085979,0.007289291
AK,CA,f,45-49,0.002154933,0.004913232
AK,CA,f,50-54,0.00444706,0.004229324
AK,CA,f,55-59,0.004212525,0.003604839
AK,CA,f,60-64,0.005349801,0.004669795
AK,CA,f,65-69,0.004422895,0.00466174
AK,CA,f,70-74,0.002966484,0.004246393
AK,CA,f,75-79,0,0.002463126
AK,CA,f,80-84,0.007350661,0.003439048
AK,CA,f,85-89,0.017408741,0.006129151
AK,CA,f,90-94,0.015102669,0.008234329
AK,CA,f,95-99,0,0.005784109
AK,CO,m,00-04,0.001095027,0.001095027
AK,CO,m,05-09,0.001982316,0.001538671
AK,CO,m,10-14,0.000659919,0.001245754
AK,CO,m,15-19,0.003246495,0.00196291
AK,CO,m,20-24,0.003656342,0.002520919
AK,CO,m,25-29,0.007204018,0.004702285
AK,CO,m,30-34,0.004615712,0.005158691
AK,CO,m,35-39,0.001648675,0.004489468
AK,CO,m,40-44,0.002948269,0.003070885
AK,CO,m,45-49,0.001556614,0.002051186
AK,CO,m,50-54,0.000967635,0.001824173
AK,CO,m,55-59,0.000481158,0.001001802
AK,CO,m,60-64,0.001217625,0.000888806
AK,CO,m,65-69,0.000689077,0.000795953
AK,CO,m,70-74,0.002914193,0.001606965
AK,CO,m,75-79,0,0.00120109
AK,CO,m,80-84,0,0.000971398
AK,CO,m,85-89,0,0
AK,CO,m,90-94,0,0
AK,CO,m,95-99,0,0
AK,CO,f,00-04,0.002083486,0.002083486
AK,CO,f,05-09,0.001328371,0.001705928
AK,CO,f,10-14,0.001106575,0.001506144
AK,CO,f,15-19,0.003624779,0.002019908
AK,CO,f,20-24,0.004309017,0.003013457
AK,CO,f,25-29,0.002272383,0.00340206
AK,CO,f,30-34,0.002713073,0.003098158
AK,CO,f,35-39,0.003543421,0.002842959
AK,CO,f,40-44,0.002140586,0.002799027
AK,CO,f,45-49,0.001250393,0.002311467
AK,CO,f,50-54,0.000452462,0.001281147
AK,CO,f,55-59,0.000129838,0.000610898
AK,CO,f,60-64,0.002225829,0.000936043
AK,CO,f,65-69,0.002793408,0.001716358
AK,CO,f,70-74,0,0.001673079
AK,CO,f,75-79,0,0.000931136
AK,CO,f,80-84,0,0
AK,CO,f,85-89,0,0
AK,CO,f,90-94,0,0
AK,CO,f,95-99,0,0
AK,CT,m,00-04,0.0013627,0.0013627
AK,CT,m,05-09,0.00056818,0.00096544
AK,CT,m,10-14,0.000190361,0.00070708
AK,CT,m,15-19,0,0.000252847
AK,CT,m,20-24,0.000473411,0.000221257
AK,CT,m,25-29,0.001406224,0.000626545
AK,CT,m,30-34,0,0.000626545
AK,CT,m,35-39,0.001373896,0.000926707
AK,CT,m,40-44,0.000543102,0.000638999
AK,CT,m,45-49,0,0.000638999
AK,CT,m,50-54,0.000119461,0.000220854
AK,CT,m,55-59,0,3.98E-05
AK,CT,m,60-64,0.000744104,0.000287855
AK,CT,m,65-69,0,0.000248035
AK,CT,m,70-74,0,0.000248035
AK,CT,m,75-79,0,0
AK,CT,m,80-84,0,0
AK,CT,m,85-89,0,0
AK,CT,m,90-94,0,0
AK,CT,m,95-99,0,0
AK,CT,f,00-04,0.00087586,0.00087586
AK,CT,f,05-09,0,0.00043793
AK,CT,f,10-14,0.000355685,0.000410515
AK,CT,f,15-19,0.000334389,0.000230025
AK,CT,f,20-24,0.001313725,0.000667933
AK,CT,f,25-29,0.000298656,0.000648923
AK,CT,f,30-34,0.000762594,0.000791658
AK,CT,f,35-39,0,0.00035375
AK,CT,f,40-44,0.000209861,0.000324152
AK,CT,f,45-49,0.000691707,0.000300523
AK,CT,f,50-54,0,0.000300523
AK,CT,f,55-59,0,0.000230569
AK,CT,f,60-64,0.000820042,0.000273347
AK,CT,f,65-69,0,0.000273347
AK,CT,f,70-74,0,0.000273347
AK,CT,f,75-79,0,0
AK,CT,f,80-84,0,0
AK,CT,f,85-89,0,0
AK,CT,f,90-94,0,0
AK,CT,f,95-99,0,0
AK,DC,m,00-04,0.000206838,0.000206838
AK,DC,m,05-09,0,0.000103419
AK,DC,m,10-14,0,6.89461E-05
AK,DC,m,15-19,0.000423983,0.000141328
AK,DC,m,20-24,0.001520958,0.000648313
AK,DC,m,25-29,0.001175696,0.001040212
AK,DC,m,30-34,0,0.000898885
AK,DC,m,35-39,0,0.000391899
AK,DC,m,40-44,0.000594826,0.000198275
AK,DC,m,45-49,0,0.000198275
AK,DC,m,50-54,0,0.000198275
AK,DC,m,55-59,0,0
AK,DC,m,60-64,0.001319094,0.000439698
AK,DC,m,65-69,0,0.000439698
AK,DC,m,70-74,0,0.000439698
AK,DC,m,75-79,0,0
AK,DC,m,80-84,0,0
AK,DC,m,85-89,0,0
AK,DC,m,90-94,0,0
AK,DC,m,95-99,0,0
AK,DC,f,00-04,0,0
AK,DC,f,05-09,0,0
AK,DC,f,10-14,0,0
AK,DC,f,15-19,0.000374516,0.000124839
AK,DC,f,20-24,9.19607E-05,0.000155492
AK,DC,f,25-29,0.001986712,0.00081773
AK,DC,f,30-34,0,0.000692891
AK,DC,f,35-39,0,0.000662237
AK,DC,f,40-44,0.000517658,0.000172553
AK,DC,f,45-49,0,0.000172553
AK,DC,f,50-54,0.000711012,0.000409557
AK,DC,f,55-59,0,0.000237004
AK,DC,f,60-64,0.000253823,0.000321612
AK,DC,f,65-69,0,8.46076E-05
AK,DC,f,70-74,0,8.46076E-05
AK,DC,f,75-79,0,0
AK,DC,f,80-84,0,0
AK,DC,f,85-89,0,0
AK,DC,f,90-94,0,0
AK,DC,f,95-99,0,0
AK,DE,m,00-04,0.001058526,0.001058526
AK,DE,m,05-09,0.000618685,0.000838605
AK,DE,m,10-14,0,0.00055907
AK,DE,m,15-19,0,0.000206228
AK,DE,m,20-24,0,0
AK,DE,m,25-29,0.00048411,0.00016137
AK,DE,m,30-34,0.000526007,0.000336706
AK,DE,m,35-39,0.002212696,0.001074271
AK,DE,m,40-44,0.000581895,0.001106866
AK,DE,m,45-49,0,0.00093153
AK,DE,m,50-54,0,0.000193965
AK,DE,m,55-59,5.20E-05,1.73E-05
AK,DE,m,60-64,0,1.73E-05
AK,DE,m,65-69,0,1.73E-05
AK,DE,m,70-74,0,0
AK,DE,m,75-79,0,0
AK,DE,m,80-84,0,0
AK,DE,m,85-89,0,0
AK,DE,m,90-94,0,0
AK,DE,m,95-99,0,0
AK,DE,f,00-04,0,0
AK,DE,f,05-09,0.000209743,0.000104871
AK,DE,f,10-14,0.000368858,0.000192867
AK,DE,f,15-19,5.35E-05,0.000210701
AK,DE,f,20-24,0,0.000140787
AK,DE,f,25-29,0.000155821,6.97743E-05
AK,DE,f,30-34,0.000791924,0.000315915
AK,DE,f,35-39,0.000663449,0.000537065
AK,DE,f,40-44,0,0.000485124
AK,DE,f,45-49,0.000691707,0.000451719
AK,DE,f,50-54,0.000504172,0.000398626
AK,DE,f,55-59,0,0.000398626
AK,DE,f,60-64,0,0.000168057
AK,DE,f,65-69,0,0
AK,DE,f,70-74,0,0
AK,DE,f,75-79,0,0
AK,DE,f,80-84,0,0
AK,DE,f,85-89,0,0
AK,DE,f,90-94,0,0
AK,DE,f,95-99,0,0
AK,FL,m,00-04,0.006059147,0.006059147
AK,FL,m,05-09,0.006098463,0.006078805
AK,FL,m,10-14,0.007043363,0.006400324
AK,FL,m,15-19,0.005087791,0.006076539
AK,FL,m,20-24,0.010737358,0.007622837
AK,FL,m,25-29,0.012448543,0.009424564
AK,FL,m,30-34,0.010940947,0.011375616
AK,FL,m,35-39,0.009067713,0.010819068
AK,FL,m,40-44,0.005198263,0.008402308
AK,FL,m,45-49,0.006441599,0.006902525
AK,FL,m,50-54,0.004443954,0.005361272
AK,FL,m,55-59,0.002223728,0.00436976
AK,FL,m,60-64,0.004701386,0.003789689
AK,FL,m,65-69,0.001205885,0.002710333
AK,FL,m,70-74,0.00408857,0.003331947
AK,FL,m,75-79,0.004264495,0.003186316
AK,FL,m,80-84,0,0.002784355
AK,FL,m,85-89,0,0.001421498
AK,FL,m,90-94,0,0
AK,FL,m,95-99,0,0
AK,FL,f,00-04,0.005971774,0.005971774
AK,FL,f,05-09,0.012207028,0.009089401
AK,FL,f,10-14,0.005717306,0.007965369
AK,FL,f,15-19,0.002902498,0.006942277
AK,FL,f,20-24,0.009839797,0.006153201
AK,FL,f,25-29,0.01562101,0.009454435
AK,FL,f,30-34,0.005426147,0.010295651
AK,FL,f,35-39,0.010268381,0.010438512
AK,FL,f,40-44,0.008086657,0.007927062
AK,FL,f,45-49,0.005946019,0.008100353
AK,FL,f,50-54,0.002856977,0.005629885
AK,FL,f,55-59,0.003043982,0.003948993
AK,FL,f,60-64,0.003182546,0.003027835
AK,FL,f,65-69,0.004684777,0.003637102
AK,FL,f,70-74,0.000593297,0.002820207
AK,FL,f,75-79,0.002044674,0.002440916
AK,FL,f,80-84,0.001270485,0.001302819
AK,FL,f,85-89,0,0.001105053
AK,FL,f,90-94,0,0.000423495
AK,FL,f,95-99,0,0
AK,GA,m,00-04,0.002859236,0.002859236
AK,GA,m,05-09,0.002512617,0.002685927
AK,GA,m,10-14,0.002132045,0.002501299
AK,GA,m,15-19,0.001562679,0.002069114
AK,GA,m,20-24,0.002205893,0.001966872
AK,GA,m,25-29,0.005267578,0.00301205
AK,GA,m,30-34,0.005338972,0.004270814
AK,GA,m,35-39,0.00287795,0.004494833
AK,GA,m,40-44,0.001021549,0.00307949
AK,GA,m,45-49,0.001189608,0.001696369
AK,GA,m,50-54,0.001110988,0.001107382
AK,GA,m,55-59,0.000208068,0.000836221
AK,GA,m,60-64,0.00138674,0.000901932
AK,GA,m,65-69,0.001550423,0.00104841
AK,GA,m,70-74,0.001261367,0.00139951
AK,GA,m,75-79,0,0.000937263
AK,GA,m,80-84,0,0.000420456
AK,GA,m,85-89,0,0
AK,GA,m,90-94,0,0
AK,GA,m,95-99,0,0
AK,GA,f,00-04,0.004817231,0.004817231
AK,GA,f,05-09,0.004180872,0.004499052
AK,GA,f,10-14,0.001119749,0.003372617
AK,GA,f,15-19,0.001564942,0.002288521
AK,GA,f,20-24,0.003021567,0.001902086
AK,GA,f,25-29,0.003220291,0.002602266
AK,GA,f,30-34,0.004018282,0.003420046
AK,GA,f,35-39,0.005066338,0.004101637
AK,GA,f,40-44,0.000783482,0.003289367
AK,GA,f,45-49,0.001263695,0.002371172
AK,GA,f,50-54,0,0.000682393
AK,GA,f,55-59,0.000605911,0.000623202
AK,GA,f,60-64,0.000370972,0.000325628
AK,GA,f,65-69,0.001687684,0.000888189
AK,GA,f,70-74,0.0014338,0.001164152
AK,GA,f,75-79,0,0.001040495
AK,GA,f,80-84,0,0.000477933
AK,GA,f,85-89,0,0
AK,GA,f,90-94,0,0
AK,GA,f,95-99,0,0
AK,HI,m,00-04,0.001995382,0.001995382
AK,HI,m,05-09,0.000946966,0.001471174
AK,HI,m,10-14,0.001205621,0.001382656
AK,HI,m,15-19,0.000642031,0.000931539
AK,HI,m,20-24,0.002034659,0.001294103
AK,HI,m,25-29,0.0048411,0.00250593
AK,HI,m,30-34,0.001236117,0.002703959
AK,HI,m,35-39,0.002111461,0.002729559
AK,HI,m,40-44,0.001008618,0.001452065
AK,HI,m,45-49,0.000126554,0.001082211
AK,HI,m,50-54,0,0.000378391
AK,HI,m,55-59,0,4.22E-05
AK,HI,m,60-64,0.000169115,5.64E-05
AK,HI,m,65-69,5.74E-05,7.55126E-05
AK,HI,m,70-74,0.000695927,0.000307488
AK,HI,m,75-79,0,0.000251117
AK,HI,m,80-84,0,0.000231976
AK,HI,m,85-89,0,0
AK,HI,m,90-94,0,0
AK,HI,m,95-99,0,0
AK,HI,f,00-04,0.000729884,0.000729884
AK,HI,f,05-09,0.000797022,0.000763453
AK,HI,f,10-14,0.00022395,0.000583619
AK,HI,f,15-19,0.002313973,0.001111649
AK,HI,f,20-24,0.001313725,0.001283883
AK,HI,f,25-29,0.002155518,0.001927739
AK,HI,f,30-34,0.001686505,0.001718582
AK,HI,f,35-39,0.000392038,0.001411354
AK,HI,f,40-44,0.001916734,0.001331759
AK,HI,f,45-49,0,0.000769591
AK,HI,f,50-54,0.000232695,0.000716476
AK,HI,f,55-59,0.002163969,0.000798888
AK,HI,f,60-64,0.001112915,0.001169859
AK,HI,f,65-69,0,0.001092294
AK,HI,f,70-74,0.000988828,0.000700581
AK,HI,f,75-79,0.00113593,0.000708253
AK,HI,f,80-84,0,0.000708253
AK,HI,f,85-89,0,0.000378643
AK,HI,f,90-94,0,0
AK,HI,f,95-99,0,0
AK,IA,m,00-04,0.001374867,0.001374867
AK,IA,m,05-09,0.001376258,0.001375562
AK,IA,m,10-14,0.001180239,0.001310455
AK,IA,m,15-19,0,0.000852166
AK,IA,m,20-24,0.001873498,0.001017912
AK,IA,m,25-29,0.001106537,0.000993345
AK,IA,m,30-34,0.001196666,0.001392234
AK,IA,m,35-39,0.001851144,0.001384782
AK,IA,m,40-44,0.000724136,0.001257315
AK,IA,m,45-49,0,0.000858427
AK,IA,m,50-54,0.000991527,0.000571888
AK,IA,m,55-59,0,0.000330509
AK,IA,m,60-64,0.00011838,0.000369969
AK,IA,m,65-69,0,3.95E-05
AK,IA,m,70-74,0,3.95E-05
AK,IA,m,75-79,0,0
AK,IA,m,80-84,0,0
AK,IA,m,85-89,0,0
AK,IA,m,90-94,0,0
AK,IA,m,95-99,0,0
AK,IA,f,00-04,0.003450358,0.003450358
AK,IA,f,05-09,0,0.001725179
AK,IA,f,10-14,0.000131735,0.001194031
AK,IA,f,15-19,0.000147131,9.29555E-05
AK,IA,f,20-24,0.002798233,0.0010257
AK,IA,f,25-29,0.001181639,0.001375668
AK,IA,f,30-34,0,0.001326624
AK,IA,f,35-39,0.003694205,0.001625281
AK,IA,f,40-44,0,0.001231402
AK,IA,f,45-49,0.001197185,0.001630463
AK,IA,f,50-54,0.000323187,0.000506791
AK,IA,f,55-59,0,0.000506791
AK,IA,f,60-64,0,0.000107729
AK,IA,f,65-69,0,0
AK,IA,f,70-74,0,0
AK,IA,f,75-79,0,0
AK,IA,f,80-84,0,0
AK,IA,f,85-89,0,0
AK,IA,f,90-94,0,0
AK,IA,f,95-99,0,0
AK,ID,m,00-04,0.000523179,0.000523179
AK,ID,m,05-09,0.002790394,0.001656787
AK,ID,m,10-14,0.001840158,0.00171791
AK,ID,m,15-19,0.002568123,0.002399558
AK,ID,m,20-24,0.001933933,0.002114071
AK,ID,m,25-29,0.001579121,0.002027059
AK,ID,m,30-34,0.003511097,0.002341384
AK,ID,m,35-39,0.001272662,0.00212096
AK,ID,m,40-44,0.001280169,0.002021309
AK,ID,m,45-49,0.002986675,0.001846502
AK,ID,m,50-54,0.004993475,0.003086773
AK,ID,m,55-59,0.000299098,0.002759749
AK,ID,m,60-64,0.002807302,0.002699958
AK,ID,m,65-69,0.001292019,0.00146614
AK,ID,m,70-74,0,0.001366441
AK,ID,m,75-79,0.012260423,0.004517481
AK,ID,m,80-84,0,0.004086808
AK,ID,m,85-89,0,0.004086808
AK,ID,m,90-94,0,0
AK,ID,m,95-99,0,0
AK,ID,f,00-04,0.000849319,0.000849319
AK,ID,f,05-09,0.003957146,0.002403233
AK,ID,f,10-14,0.000526941,0.001777802
AK,ID,f,15-19,0.003424146,0.002636078
AK,ID,f,20-24,0.000801372,0.001584153
AK,ID,f,25-29,0.004116259,0.002780592
AK,ID,f,30-34,0.001085229,0.002000954
AK,ID,f,35-39,0,0.00173383
AK,ID,f,40-44,0.001594946,0.000893392
AK,ID,f,45-49,0.00180908,0.001134675
AK,ID,f,50-54,0.001512517,0.001638848
AK,ID,f,55-59,0.003967276,0.002429624
AK,ID,f,60-64,0.000292872,0.001924222
AK,ID,f,65-69,8.7294E-05,0.001449147
AK,ID,f,70-74,0,0.000126722
AK,ID,f,75-79,0.000833015,0.00030677
AK,ID,f,80-84,0.002268723,0.001033913
AK,ID,f,85-89,0,0.001033913
AK,ID,f,90-94,0.00145218,0.000958662
AK,ID,f,95-99,0,0.000202421
AK,IL,m,00-04,0.001131527,0.001131527
AK,IL,m,05-09,0.002386355,0.001758941
AK,IL,m,10-14,0.003172686,0.002230189
AK,IL,m,15-19,0.000581462,0.002046834
AK,IL,m,20-24,0.002457707,0.002070618
AK,IL,m,25-29,0.006039849,0.003026339
AK,IL,m,30-34,0.002196079,0.003564545
AK,IL,m,35-39,0.001590827,0.003275585
AK,IL,m,40-44,0.004435334,0.002740747
AK,IL,m,45-49,0.000544182,0.002190114
AK,IL,m,50-54,0.001349911,0.002109809
AK,IL,m,55-59,0.00070223,0.000865441
AK,IL,m,60-64,0.000642635,0.000898259
AK,IL,m,65-69,0,0.000448288
AK,IL,m,70-74,0.00056544,0.000402692
AK,IL,m,75-79,0,0.00018848
AK,IL,m,80-84,0,0.00018848
AK,IL,m,85-89,0,0
AK,IL,m,90-94,0,0
AK,IL,m,95-99,0,0
AK,IL,f,00-04,0.003025699,0.003025699
AK,IL,f,05-09,0.000811005,0.001918352
AK,IL,f,10-14,0.004821507,0.00288607
AK,IL,f,15-19,0.001096797,0.002243103
AK,IL,f,20-24,0.003258037,0.00305878
AK,IL,f,25-29,0.003973424,0.002776086
AK,IL,f,30-34,0.00334368,0.003525047
AK,IL,f,35-39,0.002789501,0.003368868
AK,IL,f,40-44,0,0.002044394
AK,IL,f,45-49,0.000558686,0.001116063
AK,IL,f,50-54,0,0.000186229
AK,IL,f,55-59,0.00069247,0.000417052
AK,IL,f,60-64,0.001698659,0.000797043
AK,IL,f,65-69,0.001949566,0.001446898
AK,IL,f,70-74,0,0.001216075
AK,IL,f,75-79,0,0.000649855
AK,IL,f,80-84,0,0
AK,IL,f,85-89,0,0
AK,IL,f,90-94,0,0
AK,IL,f,95-99,0,0
AK,IN,m,00-04,0.001435701,0.001435701
AK,IN,m,05-09,0.000164141,0.000799921
AK,IN,m,10-14,0,0.000533281
AK,IN,m,15-19,0.00089642,0.00035352
AK,IN,m,20-24,0.000241742,0.000379387
AK,IN,m,25-29,0.000276634,0.000471599
AK,IN,m,30-34,6.58E-05,0.000194709
AK,IN,m,35-39,0.000245855,0.00019608
AK,IN,m,40-44,0.000931032,0.000414213
AK,IN,m,45-49,0,0.000392296
AK,IN,m,50-54,0.000513683,0.000481572
AK,IN,m,55-59,0.000650213,0.000387965
AK,IN,m,60-64,0.000253672,0.000472523
AK,IN,m,65-69,0,0.000301295
AK,IN,m,70-74,0,8.45573E-05
AK,IN,m,75-79,0,0
AK,IN,m,80-84,0,0
AK,IN,m,85-89,0,0
AK,IN,m,90-94,0,0
AK,IN,m,95-99,0,0
AK,IN,f,00-04,0.000106165,0.000106165
AK,IN,f,05-09,0,5.31E-05
AK,IN,f,10-14,0,3.54E-05
AK,IN,f,15-19,0.000468145,0.000156048
AK,IN,f,20-24,0.000446666,0.000304937
AK,IN,f,25-29,0.000194776,0.000369862
AK,IN,f,30-34,0.000205314,0.000282252
AK,IN,f,35-39,0.000196019,0.000198703
AK,IN,f,40-44,0.000279815,0.000227049
AK,IN,f,45-49,0,0.000158611
AK,IN,f,50-54,0.000452462,0.000244093
AK,IN,f,55-59,0,0.000150821
AK,IN,f,60-64,0,0.000150821
AK,IN,f,65-69,0,0
AK,IN,f,70-74,0,0
AK,IN,f,75-79,0,0
AK,IN,f,80-84,0,0
AK,IN,f,85-89,0,0
AK,IN,f,90-94,0,0
AK,IN,f,95-99,0,0
AK,KS,m,00-04,0.001046359,0.001046359
AK,KS,m,05-09,0.002083326,0.001564842
AK,KS,m,10-14,0,0.001043228
AK,KS,m,15-19,0.000205934,0.000763087
AK,KS,m,20-24,0.001319506,0.00050848
AK,KS,m,25-29,0.001994072,0.001173171
AK,KS,m,30-34,0.000460256,0.001257945
AK,KS,m,35-39,0.001229275,0.001227868
AK,KS,m,40-44,0.000168103,0.000619212
AK,KS,m,45-49,0.001164297,0.000853892
AK,KS,m,50-54,0.00043006,0.000587487
AK,KS,m,55-59,0,0.000531452
AK,KS,m,60-64,0.000558078,0.000329379
AK,KS,m,65-69,0,0.000186026
AK,KS,m,70-74,0,0.000186026
AK,KS,m,75-79,0,0
AK,KS,m,80-84,0,0
AK,KS,m,85-89,0,0
AK,KS,m,90-94,0,0
AK,KS,m,95-99,0,0
AK,KS,f,00-04,6.64E-05,6.64E-05
AK,KS,f,05-09,0.001216508,0.00064143
AK,KS,f,10-14,0.001883813,0.001055558
AK,KS,f,15-19,0.00129743,0.001465917
AK,KS,f,20-24,3.94E-05,0.001073552
AK,KS,f,25-29,0.002025667,0.001120836
AK,KS,f,30-34,0.000894581,0.000986553
AK,KS,f,35-39,0.001070565,0.001330271
AK,KS,f,40-44,0.001580956,0.001182034
AK,KS,f,45-49,0,0.00088384
AK,KS,f,50-54,0.000478317,0.000686424
AK,KS,f,55-59,0.000504926,0.000327748
AK,KS,f,60-64,0,0.000327748
AK,KS,f,65-69,0,0.000168309
AK,KS,f,70-74,0,0
AK,KS,f,75-79,0,0
AK,KS,f,80-84,0,0
AK,KS,f,85-89,0,0
AK,KS,f,90-94,0,0
