"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"IN",5,1,1,43610,42312.6316438634,44533.3855867635,43482.6140263129,41897.781648319,40311.7953005604,41623.5958305039,41954.6889390027,42208.9988705637,42395.8872448895,42542.0993277171,42666.6413194823,42804.9307655383,42903.1138354254,42962.3812842512,43000.3696662025,42986.5861250706,42924.5790549082,42830.2577714498,42705.0828440367,42558.0223780521,42413.3921902908,42255.9790452869,42081.1859380823,41891.6469998008,41705.5465415049,41507.4260231475,41315.2643969553,41172.9290557575,41053.5463836194,40962.508540997,40897.6355910391,40832.1879632654,40772.8109062237,40738.1283270181,40721.1493970182,40714.0425515081,40713.8033877192,40722.1796805443,40731.9339089592,40732.8720444469,40724.4926209005,40706.9506348447,40680.8524279498,40640.2373554115,40581.1319901296,40505.7406605106,40418.8079630232,40322.0926329745,40215.2185773701,40103.2123177993,39988.7965261798,39873.3039224708,39759.6730549281,39650.5428996703,39547.6447477454,39452.1824761503,39365.5239963569,39287.8007369729,39219.2558029499,39159.443749154,39107.3278372313,39061.7533862928,39021.2790915113,38984.3041515892,38949.2047515836,38914.2957833749,38878.0029233102,38838.8809327541,38795.7900761813,38747.941194324,38694.7949749261,38636.1043788097,38571.8929399386,38502.4654178713,38428.4415018732,38350.6501373998,38270.0079611062,38187.5455729033,38104.3691588149,38021.5214086527,37939.9479340095,37860.4983944676,37783.8746272217,37710.5886079773,37640.9414528335,37575.0270164162,37512.7544400924,37453.8575671269,37397.9151119894,37344.385424479
"IN",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",6,1,1,43390,43603.0869373163,42305.9242401746,44526.3261488804,43475.7211568697,41891.1400067037,40305.4050697003,41616.9976528589,41948.0382764365,42202.3078947552,42389.1666435124,42535.3555487822,42659.8777981352,42798.1453225308,42896.3128284254,42955.5708821677,42993.553242196,42979.7718860327,42917.7746452389,42823.4683136022,42698.3132289343,42551.2760749933,42406.6688140276,42249.2806221752,42074.5152231959,41885.0063306508,41698.9353730229,41500.846260755,41308.7150960479,41166.4023178663,41047.0385702844,40956.0151589922,40891.1524927025,40825.715239695,40766.3475951119,40731.6705137931,40714.6942752953,40707.5885563632,40707.3494304867,40715.7243955007,40725.4770776741,40726.4150644484,40718.0369692094,40700.4977639114,40674.4036941075,40633.7950598756,40574.6990639837,40499.3196854077,40412.4007685024,40315.70076978,40208.8436558644,40096.8551515399,39982.4574971261,39866.9832013191,39753.3703465558,39644.257490624,39541.3756501271,39445.9285112233,39359.283768543,39281.5728298599,39213.0387615884,39153.2361892067,39101.128538705,39055.5613122342,39015.093433443,38978.1243547931,38943.0305187487,38908.1270843141,38871.8399773981,38832.7241884649,38789.6401626601,38741.7988658136,38688.661071161,38629.9797786853,38565.7785186195,38496.3620022117,38422.3498204941,38344.5707875176,38263.941394632,38181.4920783772,38098.3288494244,38015.4942322979,37933.9336886922,37854.4967435014,37777.8851226647,37704.6107207293,37634.9746060612,37569.0706184087,37506.8079135415,37447.9203769157,37391.9867897833
"IN",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",7,1,1,43060,43383.8176180865,43596.874193918,42299.8963217405,44519.9818586417,43469.5265610607,41885.1711883974,40299.6621932929,41611.067895459,41942.0613510356,42196.2947399952,42383.1268643655,42529.2949400514,42653.799446973,42792.047270455,42890.200789048,42949.4503994642,42987.4273476129,42973.6479550727,42911.6595478954,42817.3666534046,42692.2294013372,42545.2131978418,42400.6265411009,42243.2607745519,42068.5202768503,41879.0383862953,41692.9939408067,41494.9330530732,41302.8292639881,41160.5367631041,41041.1900229496,40950.1795810395,40885.3261566437,40819.8982273995,40760.5390417574,40725.8669013688,40708.8930817138,40701.7883752332,40701.5492834283,40709.9230551436,40719.6743477155,40720.6122008417,40712.2352993474,40694.698593106,40668.6082412903,40628.0053931401,40568.9178174836,40493.549179265,40406.642646917,40309.9564263998,40203.114537916,40091.1419901645,39976.7606355892,39861.3027930249,39747.7061262786,39638.6088171858,39535.7416357078,39440.3080964967,39353.6756993082,39275.9758331925,39207.4515299311,39147.6574784607,39095.5572524669,39049.996518598,39009.5344058331,38972.5705946863,38937.481758953,38902.5832977003,38866.3013611174,38827.1911455593,38784.11325854,38736.2787783141,38683.1485549484,38624.4756236196,38560.2835112079,38490.8768855448,38416.8752493809,38339.1072986742,38258.4893941891,38176.0518256449,38092.9004461239,38010.0776316072,37928.5287090761,37849.1030823811,37772.5023774766,37699.238415973,37629.612223339,37563.717625952,37501.4637925257,37442.5846464332
"IN",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",8,1,1,44540,43054.3847523056,43378.1601428925,43591.1889350397,42294.3801955145,44514.1762217285,43463.8579089753,41879.7091444832,40294.4069079883,41605.6415960381,41936.5918883487,42190.7921239537,42377.5998844443,42523.7488990539,42648.2371699409,42786.4669651885,42884.6076840528,42943.849568012,42981.8215637694,42968.0439681336,42906.0636445666,42811.7830463591,42686.6621128394,42539.6650810207,42395.097279131,42237.7520338954,42063.0343232625,41873.5771421304,41687.556957804,41489.5218982391,41297.4431604861,41155.1692152834,41035.8380385638,40944.8394648882,40879.9944977158,40814.5751006135,40755.2236557176,40720.5560367562,40703.5844305754,40696.4806505855,40696.2415899593,40704.6142696913,40714.3642906441,40715.3020214694,40706.9262123665,40689.3917930027,40663.3048435044,40622.7072901765,40563.6274198469,40488.2686100902,40401.3734108055,40304.6997986737,40197.8718429273,40085.9138969777,39971.5474583252,39856.1046720633,39742.5228189125,39633.4397366756,39530.5859696125,39435.1648754306,39348.5437755568,39270.8540419073,39202.338674571,39142.5524205556,39090.4589887018,39044.9041961893,39004.4473598941,38967.4883690203,38932.4041090535,38897.5101987414,38861.2329935116,38822.1278781287,38779.0556086897,38731.2273663285,38678.10407142,38619.4387913462,38555.2550499194,38485.8574752409,38411.8654892748,38334.1076799128,38253.5002884213,38171.0734701643,38087.9329340151,38005.1209200237,37923.5826318958,37844.1673627151,37767.5766469404,37694.3222394381,37624.7051264212,37558.8191220321,37496.5734068291
"IN",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",9,1,1,44100,44534.5815589914,43049.1470413954,43372.8830436156,43585.8859200927,42289.2349417182,44508.7609222695,43458.5703842764,41874.6143368169,40289.5049576783,41600.5801296121,41931.490160705,42185.6594719952,42372.4445066926,42518.5757417823,42643.048868252,42781.2618473794,42879.3906270947,42938.6253040792,42976.5926804154,42962.8167608705,42900.8439774187,42806.5748487634,42681.4691366267,42534.4899874921,42389.9397727623,42232.6136691058,42057.9172134708,41868.4830804428,41682.4855260983,41484.4745581654,41292.4191874378,41150.1625503397,41030.8458906597,40939.858387267,40875.0213087033,40809.6098700909,40750.2656454982,40715.6022439694,40698.6327024417,40691.5297866505,40691.2907551069,40699.6624162742,40709.4112511041,40710.3488678513,40701.9740776938,40684.4417914512,40658.3580155181,40617.7654010193,40558.6927179549,40483.3430758512,40396.4584476602,40299.7965961989,40192.9816364331,40081.0373105447,39966.6847849546,39851.2560426965,39737.6880071607,39628.6181952481,39525.7769406921,39430.3674548077,39343.7568926824,39266.0766102507,39197.5695780396,39137.7905972233,39085.703502711,39040.1542520925,38999.7023375076,38962.7478428196,38927.6678509711,38892.7781856208,38856.5053936351,38817.4050355213,38774.3380059689,38726.5155820744,38673.3987497937,38614.7406065488,38550.5646732903,38481.1755410605,38407.1925564687,38329.4442066061,38248.8466212753,38166.4298305183,38083.2994086954,38000.4974690643,37918.9691003438,37839.563492298,37762.9820940419,37689.736598185,37620.1279543244,37554.2499651896
"IN",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
